DateTime,MacAddress,Station,FWVersion,MAC,SDCard,LightSensor,SpeakerMic,ImageSensor,WIFI,Button,ErrCode,ErrMessage,Judged
2018/08/17 09:24:44,A4F4C2919291,SAU-DONG-VO,X,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/17 09:25:41,A4F4C2919295,SAU-DONG-VO,X,PASS,PASS,PASS,PASS,PASS,PASS,PASS,-,-,PASS
