DateTime,MacAddress,Station,FWVersion,MAC,SDCard,LightSensor,SpeakerMic,ImageSensor,WIFI,Button,ErrCode,ErrMessage,Judged
2018/08/20 14:44:22,A4F4C2909090,SAU-DONG-VO,X,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/20 14:45:31,A4F4C2909091,SAU-DONG-VO,X,PASS,PASS,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/20 14:46:38,A4F4C2909091,SAU-DONG-VO,X,PASS,PASS,PASS,PASS,PASS,PASS,PASS,-,-,FAIL
2018/08/20 14:49:17,A4F4C2909091,SAU-DONG-VO,X,PASS,PASS,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
