DateTime,MacAddress,Station,LAN,SDCard,RGBLed,WIFI,Button,ErrCode,ErrMessage,Judged
2018/08/17 09:18:30,A4F4C2909090,PCBA-LAYER2,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/17 09:19:13,A4F4C2909192,PCBA-LAYER2,FAIL,NONE,NONE,NONE,NONE,-,-,FAIL
