DateTime,MacAddress,Station,WriteMac,UploadFW,USB,LightSensor,SpeakerMic,ImageSensor,ErrCode,ErrMessage,Judged
2018/08/17 09:21:16,A4F4C2919293,PCBA-LAYER3,PASS,PASS,PASS,PASS,FAIL,NONE,-,-,FAIL
2018/08/17 09:23:26,A4F4C2919295,PCBA-LAYER3,PASS,PASS,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/17 14:23:57,A4F4C2909090,PCBA-LAYER3,X,X,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/17 14:27:32,A4F4C2909090,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/17 14:41:05,A4F4C2909098,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/17 15:56:25,A4F4C2909091,PCBA-LAYER3,X,X,NONE,NONE,NONE,NONE,-,-,FAIL
2018/08/17 15:56:43,A4F4C2909090,PCBA-LAYER3,X,X,PASS,FAIL,NONE,NONE,-,-,FAIL
2018/08/17 15:58:03,A4F4C2909091,PCBA-LAYER3,X,X,PASS,PASS,PASS,PASS,-,-,PASS
2018/08/17 15:58:59,A4F4C2919293,PCBA-LAYER3,X,X,PASS,X,X,PASS,-,-,PASS
2018/08/17 17:03:24,A4F4C2990102,PCBA-LAYER3,PASS,PASS,PASS,PASS,PASS,PASS,-,-,PASS
